Район,Цена,Цена / кв.м.,Валута,Тип Апартамент
Врана - Лозен в.з.,790000.00,1775.28,EUR,Къща
Горна Баня,606840.00,1777.50,EUR,Къща
Драгалевци,989384.50,2354.75,EUR,Къща
Зона Б18,249999.00,2336.44,EUR,Къща
Зона Б19,340000.00,1650.48,EUR,Къща
Изток,2000000.00,7142.86,EUR,Къща
Илиянци,290000.00,1450.00,EUR,Къща
Княжево,441182.06,1478.00,EUR,Къща
Красна Поляна,133000.00,665.00,EUR,Къща
Левски,516666.66,1448.60,EUR,Къща
Лозенец,722500.00,2620.13,EUR,Къща
Люлин 8,200000.00,3030.30,EUR,Къща
Люлин Център,325000.00,1083.33,EUR,Къща
м-т Гърдова глава,380000.00,1151.52,EUR,Къща
м-т Детски град,934442.00,2328.54,EUR,Къща
Малашевци,250000.00,1785.71,EUR,Къща
Малинова Долина,834148.19,2079.10,EUR,Къща
Малинова долина в.з.,834000.00,2798.66,EUR,Къща
Манастирски ливади Запад,1599000.00,2486.78,EUR,Къща
Надежда 1,650000.00,2006.17,EUR,Къща
Надежда 2,360000.00,3130.44,EUR,Къща
Надежда 3,450000.00,1840.49,EUR,Къща
Надежда 4,691666.69,1849.38,EUR,Къща
Обеля,115000.00,1513.16,EUR,Къща
Обеля 1,189990.00,2968.59,EUR,Къща
Оборище,1435000.00,2952.68,EUR,Къща
Овча Купел,506000.00,1163.22,EUR,Къща
Павлово,819666.69,2276.85,EUR,Къща
Подуене,406666.66,1261.63,EUR,Къща
Редута,586666.31,2458.10,EUR,Къща
Симеоново,895843.75,2194.35,EUR,Къща
Требич,286000.00,1643.68,EUR,Къща
Филиповци,342750.00,862.81,EUR,Къща
Център,1110916.25,3236.07,EUR,Къща
Яворов,1467500.00,3547.90,EUR,Къща
Банишора,25000.00,781.25,EUR,"Гараж, паркомясто"
Борово,60000.00,1714.29,EUR,"Гараж, паркомясто"
Бъкстон,15000.00,714.29,EUR,"Гараж, паркомясто"
Витоша,70590.00,94.50,EUR,"Гараж, паркомясто"
Гео Милев,55000.00,2115.39,EUR,"Гараж, паркомясто"
Горна Баня,12300.00,1118.18,EUR,"Гараж, паркомясто"
Дианабад,28000.00,2000.00,EUR,"Гараж, паркомясто"
Дружба,10000.00,666.67,EUR,"Гараж, паркомясто"
Дружба 1,26900.00,1582.35,EUR,"Гараж, паркомясто"
Дружба 2,18000.00,857.14,EUR,"Гараж, паркомясто"
Дървеница,40300.00,1422.35,EUR,"Гараж, паркомясто"
Зона Б18,35000.00,1666.67,EUR,"Гараж, паркомясто"
Зона Б19,17500.00,1093.75,EUR,"Гараж, паркомясто"
Зона Б5,35000.00,1794.87,EUR,"Гараж, паркомясто"
Изгрев,43500.00,2558.82,EUR,"Гараж, паркомясто"
Княжево,21998.00,1294.00,EUR,"Гараж, паркомясто"
Кръстова Вада,38000.00,1900.00,EUR,"Гараж, паркомясто"
Левски,20000.00,1333.33,EUR,"Гараж, паркомясто"
Левски Г,9500.00,791.67,EUR,"Гараж, паркомясто"
Лозенец,44000.00,2095.24,EUR,"Гараж, паркомясто"
Люлин 6,22000.00,880.00,EUR,"Гараж, паркомясто"
Люлин 7,25999.00,1039.96,EUR,"Гараж, паркомясто"
Люлин 9,17900.00,1118.75,EUR,"Гараж, паркомясто"
Люлин Център,25999.00,1039.96,EUR,"Гараж, паркомясто"
м-т Гърдова глава,25000.00,1470.59,EUR,"Гараж, паркомясто"
Малинова Долина,24750.00,638.71,EUR,"Гараж, паркомясто"
Манастирски ливади Запад,25250.00,1485.29,EUR,"Гараж, паркомясто"
Младост 2,34000.00,944.44,EUR,"Гараж, паркомясто"
Надежда 2,25000.00,735.29,EUR,"Гараж, паркомясто"
Надежда 3,35000.00,1521.74,EUR,"Гараж, паркомясто"
Надежда 4,26000.00,1238.09,EUR,"Гараж, паркомясто"
Оборище,70000.00,2333.33,EUR,"Гараж, паркомясто"
Овча Купел,28000.00,1138.21,EUR,"Гараж, паркомясто"
Овча Купел 2,60000.00,1428.57,EUR,"Гараж, паркомясто"
Павлово,42000.00,2333.33,EUR,"Гараж, паркомясто"
Подуене,32166.67,1304.05,EUR,"Гараж, паркомясто"
Редута,39666.67,1545.45,EUR,"Гараж, паркомясто"
Слатина,60000.00,1764.71,EUR,"Гараж, паркомясто"
Студентски Град,38913.33,1191.22,EUR,"Гараж, паркомясто"
Суха Река,36000.00,1241.38,EUR,"Гараж, паркомясто"
Хаджи Димитър,59999.75,679.88,EUR,"Гараж, паркомясто"
Хиподрума,54500.00,1602.94,EUR,"Гараж, паркомясто"
Хладилника,35000.00,2058.82,EUR,"Гараж, паркомясто"
Център,37780.00,1330.28,EUR,"Гараж, паркомясто"
Банишора,81000.00,1800.00,EUR,"Ателие, таван, студио"
Дървеница,85000.00,1888.89,EUR,"Ателие, таван, студио"
Зона Б18,49999.00,2777.72,EUR,"Ателие, таван, студио"
Илинден,76000.00,1041.10,EUR,"Ателие, таван, студио"
Лозенец,95480.00,3978.33,EUR,"Ателие, таван, студио"
Люлин 5,98580.00,1232.25,EUR,"Ателие, таван, студио"
Младост 1,32900.00,2056.25,EUR,"Ателие, таван, студио"
Младост 4,142460.00,1695.95,EUR,"Ателие, таван, студио"
Оборище,151823.00,2266.01,EUR,"Ателие, таван, студио"
Овча Купел,170583.33,1457.98,EUR,"Ателие, таван, студио"
Овча Купел 2,230230.00,1820.00,EUR,"Ателие, таван, студио"
Подуене,135764.00,2143.64,EUR,"Ателие, таван, студио"
Симеоново,84450.00,1362.10,EUR,"Ателие, таван, студио"
Студентски Град,82500.00,2171.05,EUR,"Ателие, таван, студио"
Суха Река,135573.00,2069.82,EUR,"Ателие, таван, студио"
Център,138149.00,2197.20,EUR,"Ателие, таван, студио"
Банишора,332859.16,2082.54,EUR,Многостаен апартамемент
Банкя (гр.),331400.00,2151.95,EUR,Многостаен апартамемент
Белите Брези,402500.00,2274.01,EUR,Многостаен апартамемент
Борово,595204.69,2280.48,EUR,Многостаен апартамемент
Бояна,521032.31,2258.00,EUR,Многостаен апартамемент
Бъкстон,405330.75,2387.81,EUR,Многостаен апартамемент
Витоша,455694.56,1680.03,EUR,Многостаен апартамемент
Гео Милев,400000.00,3333.33,EUR,Многостаен апартамемент
Горна Баня,527757.31,2094.27,EUR,Многостаен апартамемент
Гоце Делчев,671866.69,2217.38,EUR,Многостаен апартамемент
Дианабад,880250.00,2656.16,EUR,Многостаен апартамемент
Драгалевци,623155.12,2086.46,EUR,Многостаен апартамемент
Дружба 1,453591.00,1484.75,EUR,Многостаен апартамемент
Дружба 2,427250.00,2370.32,EUR,Многостаен апартамемент
Дървеница,508076.66,2450.53,EUR,Многостаен апартамемент
Зона Б5,198000.00,1800.00,EUR,Многостаен апартамемент
Иван Вазов,462000.00,3000.00,EUR,Многостаен апартамемент
Изгрев,708499.00,3264.97,EUR,Многостаен апартамемент
Изток,664622.50,2513.94,EUR,Многостаен апартамемент
Красна Поляна,193081.86,1367.99,EUR,Многостаен апартамемент
Красно Село,418116.00,2061.72,EUR,Многостаен апартамемент
Кръстова Вада,603744.94,2503.05,EUR,Многостаен апартамемент
Лагера,459456.00,2192.06,EUR,Многостаен апартамемент
Левски Г,205000.00,1808.82,EUR,Многостаен апартамемент
Лозенец,640488.50,2655.98,EUR,Многостаен апартамемент
Люлин 10,285000.00,1727.27,EUR,Многостаен апартамемент
Люлин 2,200303.11,1477.31,EUR,Многостаен апартамемент
Люлин 5,211996.19,1334.84,EUR,Многостаен апартамемент
Люлин 9,225943.20,1137.68,EUR,Многостаен апартамемент
Люлин Център,338600.00,1453.22,EUR,Многостаен апартамемент
Малинова Долина,315091.69,1756.08,EUR,Многостаен апартамемент
Манастирски ливади Запад,502844.44,1896.73,EUR,Многостаен апартамемент
Манастирски ливади Изток,451408.81,2344.98,EUR,Многостаен апартамемент
Младост 1,361533.34,1813.71,EUR,Многостаен апартамемент
Младост 2,429953.00,1901.24,EUR,Многостаен апартамемент
Младост 4,264558.94,1812.51,EUR,Многостаен апартамемент
Обеля,170000.00,1096.77,EUR,Многостаен апартамемент
Оборище,638549.81,3200.54,EUR,Многостаен апартамемент
Овча Купел,244693.47,1538.31,EUR,Многостаен апартамемент
Овча Купел 1,159211.00,1501.99,EUR,Многостаен апартамемент
Овча Купел 2,235817.75,1480.22,EUR,Многостаен апартамемент
Павлово,490000.00,1531.25,EUR,Многостаен апартамемент
Полигона,451935.66,1462.57,EUR,Многостаен апартамемент
Разсадника,367250.00,2051.68,EUR,Многостаен апартамемент
Симеоново,496742.84,2220.43,EUR,Многостаен апартамемент
Слатина,205300.00,1555.30,EUR,Многостаен апартамемент
Стрелбище,445985.72,2440.89,EUR,Многостаен апартамемент
Студентски Град,543000.00,2077.81,EUR,Многостаен апартамемент
Суха Река,303037.00,1864.02,EUR,Многостаен апартамемент
Хаджи Димитър,331999.50,2049.38,EUR,Многостаен апартамемент
Хиподрума,446333.00,1410.21,EUR,Многостаен апартамемент
Хладилника,817960.00,2493.78,EUR,Многостаен апартамемент
Център,599582.44,3194.50,EUR,Многостаен апартамемент
