Район,Цена,Цена / кв.м.,Валута,Тип Апартамент,Дата
Люлин 4,141961.88,1632.92,EUR,Тристаен апартамент,2023-11-19
Люлин 5,127931.37,1338.25,EUR,Тристаен апартамент,2023-11-19
Люлин 6,146973.62,1453.39,EUR,Тристаен апартамент,2023-11-19
Люлин 7,183875.00,1747.03,EUR,Тристаен апартамент,2023-11-19
Люлин 8,135568.16,1498.63,EUR,Тристаен апартамент,2023-11-19
Люлин 9,129292.43,1257.88,EUR,Тристаен апартамент,2023-11-19
Люлин Център,139325.28,1438.46,EUR,Тристаен апартамент,2023-11-19
м-т Гърдова глава,295285.34,2668.24,EUR,Тристаен апартамент,2023-11-19
Малинова Долина,187608.83,1545.76,EUR,Тристаен апартамент,2023-11-19
Малинова долина в.з.,390427.50,2829.19,EUR,Тристаен апартамент,2023-11-19
Манастирски ливади Запад,285998.34,1863.18,EUR,Тристаен апартамент,2023-11-19
Манастирски ливади Изток,268816.31,2278.10,EUR,Тристаен апартамент,2023-11-19
Младост 1,190598.14,1882.97,EUR,Тристаен апартамент,2023-11-19
Младост 1а,223842.86,2328.23,EUR,Тристаен апартамент,2023-11-19
Младост 2,204987.47,2013.84,EUR,Тристаен апартамент,2023-11-19
Младост 3,228901.14,2138.31,EUR,Тристаен апартамент,2023-11-19
Младост 4,204830.06,1933.25,EUR,Тристаен апартамент,2023-11-19
Мусагеница,177500.00,2191.36,EUR,Тристаен апартамент,2023-11-19
Надежда 1,172888.33,1906.86,EUR,Тристаен апартамент,2023-11-19
Надежда 2,152604.38,1662.51,EUR,Тристаен апартамент,2023-11-19
Надежда 3,151828.58,1538.06,EUR,Тристаен апартамент,2023-11-19
Надежда 4,137620.75,1442.94,EUR,Тристаен апартамент,2023-11-19
Обеля,147146.20,1306.81,EUR,Тристаен апартамент,2023-11-19
Обеля 1,194750.00,1933.00,EUR,Тристаен апартамент,2023-11-19
