Район,Цена,Цена / кв.м.,Валута,Тип Апартамент,Дата
Стрелбище,132000.00,1571.43,EUR,"Ателие, таван, студио",2022-07-28
Студентски Град,81666.66,2112.07,EUR,"Ателие, таван, студио",2022-07-28
Център,162472.50,1628.80,EUR,"Ателие, таван, студио",2022-07-28
Белите Брези,452333.34,1794.97,EUR,Многостаен апартамемент,2022-07-28
Борово,400000.00,1223.24,EUR,Многостаен апартамемент,2022-07-28
Бояна,624046.81,1875.89,EUR,Многостаен апартамемент,2022-07-28
Бъкстон,268000.00,1425.53,EUR,Многостаен апартамемент,2022-07-28
Витоша,487085.72,1785.13,EUR,Многостаен апартамемент,2022-07-28
Гео Милев,395749.84,2026.02,EUR,Многостаен апартамемент,2022-07-28
Горна Баня,375000.00,1500.00,EUR,Многостаен апартамемент,2022-07-28
Гоце Делчев,658333.31,1118.98,EUR,Многостаен апартамемент,2022-07-28
Дианабад,355000.00,1000.00,EUR,Многостаен апартамемент,2022-07-28
Драгалевци,721443.00,1681.69,EUR,Многостаен апартамемент,2022-07-28
Дружба 1,218793.83,1347.81,EUR,Многостаен апартамемент,2022-07-28
Дървеница,408703.50,1757.86,EUR,Многостаен апартамемент,2022-07-28
Западен Парк,360000.00,1500.00,EUR,Многостаен апартамемент,2022-07-28
Зона Б18,228500.00,1287.32,EUR,Многостаен апартамемент,2022-07-28
Зона Б19,368370.00,1497.44,EUR,Многостаен апартамемент,2022-07-28
Иван Вазов,418000.00,2651.16,EUR,Многостаен апартамемент,2022-07-28
Изгрев,500000.00,1362.40,EUR,Многостаен апартамемент,2022-07-28
Изток,499934.00,3029.90,EUR,Многостаен апартамемент,2022-07-28
Красна Поляна,182436.00,818.10,EUR,Многостаен апартамемент,2022-07-28
Красно Село,233249.33,1658.17,EUR,Многостаен апартамемент,2022-07-28
Кръстова Вада,517741.44,1919.08,EUR,Многостаен апартамемент,2022-07-28
Левски Г,190996.67,1757.64,EUR,Многостаен апартамемент,2022-07-28
Лозенец,757956.31,2219.63,EUR,Многостаен апартамемент,2022-07-28
Люлин 2,116480.00,1078.52,EUR,Многостаен апартамемент,2022-07-28
Малинова Долина,226487.59,1276.71,EUR,Многостаен апартамемент,2022-07-28
Манастирски ливади Запад,426250.00,1678.15,EUR,Многостаен апартамемент,2022-07-28
Младост 2,357213.00,1512.33,EUR,Многостаен апартамемент,2022-07-28
Оборище,1065244.38,3360.39,EUR,Многостаен апартамемент,2022-07-28
Овча Купел,277968.00,1669.48,EUR,Многостаен апартамемент,2022-07-28
Овча Купел 2,217375.00,1240.37,EUR,Многостаен апартамемент,2022-07-28
Павлово,260000.50,1710.53,EUR,Многостаен апартамемент,2022-07-28
Редута,225000.00,1323.53,EUR,Многостаен апартамемент,2022-07-28
Симеоново,538333.31,1523.58,EUR,Многостаен апартамемент,2022-07-28
Стрелбище,399450.00,1997.25,EUR,Многостаен апартамемент,2022-07-28
Студентски Град,412730.81,1582.56,EUR,Многостаен апартамемент,2022-07-28
Хаджи Димитър,205000.00,1102.15,EUR,Многостаен апартамемент,2022-07-28
Хиподрума,377277.50,1326.89,EUR,Многостаен апартамемент,2022-07-28
Хладилника,460016.66,2115.02,EUR,Многостаен апартамемент,2022-07-28
Център,529647.62,2792.63,EUR,Многостаен апартамемент,2022-07-28
Яворов,650000.00,2826.09,EUR,Многостаен апартамемент,2022-07-28
